Image_ID,Category,,Image_ID,Category,<-- 0.71025,,,,,,,,
1,1,,1,1,,260,,,312,,52,,52
2,1,,2,6,,228,,,315,,87,,87
3,1,,3,3,,160,,,210,,50,,50
4,1,,4,1,,208,,,191,,-17,,17
5,1,,5,6,,274,,,187,,-87,,87
6,1,,6,1,,312,,,289,,-23,,23
7,1,,7,1,,190,,,189,,-1,,1
8,1,,8,1,,256,,,195,,-61,,61
9,1,,9,1,,,,,,,,,
10,1,,10,1,,,,,,,,,
11,1,,11,1,,,,,,,,,
12,1,,12,1,,,,,,,,,
13,1,,13,1,,,,,,,,,
14,1,,14,1,,,,,,,,,
15,1,,15,6,,,,,,,,,
16,1,,16,1,,,,,,,,,
17,1,,17,1,,,,,,,,,
18,1,,18,6,,,,,,,,,
19,1,,19,1,,,,,,,,,
20,1,,20,1,,,,,,,,,
21,1,,21,1,,,,,,,,,
22,1,,22,1,,,,,,,,,
23,1,,23,3,,,,,,,,,
24,1,,24,1,,,,,,,,,
25,1,,25,1,,,,,,,,,
26,1,,26,1,,,,,,,,,
27,1,,27,1,,,,,,,,,
28,1,,28,1,,,,,,,,,
29,1,,29,1,,,,,,,,,
30,1,,30,1,,,,,,,,,
31,1,,31,1,,,,,,,,,
32,1,,32,1,,,,,,,,,
33,1,,33,1,,,,,,,,,
34,1,,34,1,,,,,,,,,
35,1,,35,2,,,,,,,,,
36,1,,36,1,,,,,,,,,
37,1,,37,1,,,,,,,,,
38,1,,38,1,,,,,,,,,
39,1,,39,1,,,,,,,,,
40,1,,40,1,,,,,,,,,
41,1,,41,1,,,,,,,,,
42,1,,42,1,,,,,,,,,
43,1,,43,1,,,,,,,,,
44,1,,44,3,,,,,,,,,
45,1,,45,1,,,,,,,,,
46,1,,46,1,,,,,,,,,
47,1,,47,1,,,,,,,,,
48,1,,48,6,,,,,,,,,
49,1,,49,1,,,,,,,,,
50,1,,50,1,,,,,,,,,
51,1,,51,1,,,,,,,,,
52,1,,52,1,,,,,,,,,
53,1,,53,1,,,,,,,,,
54,1,,54,3,,,,,,,,,
55,1,,55,1,,,,,,,,,
56,1,,56,1,,,,,,,,,
57,1,,57,1,,,,,,,,,
58,1,,58,1,,,,,,,,,
59,1,,59,1,,,,,,,,,
60,1,,60,1,,,,,,,,,
61,1,,61,1,,,,,,,,,
62,1,,62,1,,,,,,,,,
63,1,,63,1,,,,,,,,,
64,1,,64,1,,,,,,,,,
65,1,,65,6,,,,,,,,,
66,1,,66,1,,,,,,,,,
67,1,,67,1,,,,,,,,,
68,1,,68,1,,,,,,,,,
69,1,,69,1,,,,,,,,,
70,1,,70,1,,,,,,,,,
71,1,,71,1,,,,,,,,,
72,1,,72,6,,,,,,,,,
73,1,,73,1,,,,,,,,,
74,1,,74,1,,,,,,,,,
75,1,,75,1,,,,,,,,,
76,1,,76,6,,,,,,,,,
77,1,,77,1,,,,,,,,,
78,1,,78,1,,,,,,,,,
79,1,,79,1,,,,,,,,,
80,1,,80,3,,,,,,,,,
81,1,,81,1,,,,,,,,,
82,1,,82,1,,,,,,,,,
83,1,,83,1,,,,,,,,,
84,1,,84,1,,,,,,,,,
85,1,,85,1,,,,,,,,,
86,1,,86,1,,,,,,,,,
87,1,,87,1,,,,,,,,,
88,1,,88,1,,,,,,,,,
89,1,,89,6,,,,,,,,,
90,1,,90,1,,,,,,,,,
91,1,,91,1,,,,,,,,,
92,1,,92,1,,,,,,,,,
93,1,,93,6,,,,,,,,,
94,1,,94,2,,,,,,,,,
95,1,,95,1,,,,,,,,,
96,1,,96,1,,,,,,,,,
97,1,,97,1,,,,,,,,,
98,1,,98,1,,,,,,,,,
99,1,,99,1,,,,,,,,,
