EventID,Prediction
1,-0.0071973
2,-0.1356
3,-0.93127
4,0.97645
5,-4.1709
6,1.0376
7,-1.3207
8,0.72771
9,-1.0428
10,0.65386
11,-0.060561
12,1.3408
13,-0.78081
14,0.083581
15,-1.7447
16,0.57518
17,-0.57564
18,0.69736
19,0.78664
20,0.7436
21,0.50889
22,0.45868
23,0.03159
24,-0.40612
25,0.99584
26,1.2983
27,0.22314
28,-1.9383
29,-1.3901
30,0.01686
31,0.010946
32,-0.20056
33,0.99762
34,-0.24598
35,1.2555
36,0.17227
37,0.46736
38,0.65968
39,0.19902
40,-0.56903
41,0.5003
42,-0.23247
43,0.36715
44,0.25323
45,-0.13936
46,0.88833
47,-0.17201
48,-0.74255
49,0.19166
50,2.1428
51,-1.5371
52,0.12648
53,0.23315
54,-0.74098
55,0.33924
56,0.57424
57,1.0325
58,0.41905
59,0.14549
60,1.4564
61,0.39299
62,-0.16084
63,0.88026
64,0.79232
65,-0.43703
66,-0.37412
67,0.70265
68,-1.8109
69,0.14849
70,0.74842
71,0.51101
72,-0.60233
73,1.0415
74,1.2081
75,-3.0301
76,1.1162
77,0.51592
78,0.13464
79,1.3009
80,1.7575
81,-0.29529
82,-0.18914
83,1.7131
84,-0.80326
85,0.10403
86,-1.6543
87,0.2234
88,-0.12132
89,-1.2105
90,0.62324
91,0.75673
92,-0.23078
93,-4.597
94,2.4079
95,2.2041
96,-1.9079
97,1.7757
98,-0.43162
99,0.74644
100,-0.015225
101,-0.4974
102,2.1231
103,2.1211
104,-0.054709
105,-0.093596
106,0.39348
107,0.68145
108,0.054944
109,0.64689
110,-2.3871
111,-1.1482
112,-1.5061
113,-4.3604
114,0.43918
115,0.21858
116,0.58448
117,0.1191
118,-0.14866
119,1.295
120,-2.1298
121,-1.6635
122,0.41017
123,-0.54286
124,-0.17261
125,1.8532
126,0.46022
127,0.92637
128,0.56198
129,-1.4192
130,0.92692
131,0.51122
132,-0.95832
133,0.71976
134,0.45143
135,-0.28926
136,1.5102
137,1.3404
138,0.27654
139,-0.23514
140,-2.0738
141,-1.1828
142,-0.5324
143,-1.1485
144,0.26928
145,-1.1959
146,0.71022
147,-2.3972
148,0.40293
149,0.21237
150,1.6701
151,-0.4108
152,0.80358
153,1.3161
154,-0.1993
155,0.48497
156,2.7366
157,1.2706
158,-0.74385
159,0.38464
160,0.16373
161,0.80664
162,0.31117
163,-1.3401
164,0.78538
165,-2.6933
166,1.453
167,0.84612
168,-3.6069
169,0.33575
170,0.48675
171,-0.12518
172,-0.21881
173,-0.12911
174,-1.1669
175,-3.0707
176,0.18716
177,0.36707
178,-2.209
179,1.2495
180,-0.50193
181,-1.3844
182,-1.0461
183,-0.26719
184,0.14114
185,0.66503
186,-0.74427
187,2.1354
188,0.76708
189,0.30988
190,1.81
191,1.754
192,0.030976
193,0.66114
194,-1.4503
195,0.5789
196,-0.12175
197,0.8369
198,1.6977
199,0.054565
200,0.64332
201,-0.32924
202,0.20115
203,1.0017
204,-0.016651
205,1.6784
206,0.30054
207,1.2682
208,0.95814
209,-0.49115
210,0.0032557
211,0.57496
212,1.0547
213,1.5352
214,-0.033571
215,1.0687
216,0.75684
217,0.59778
218,-0.63466
219,-0.33948
220,0.25082
221,-0.56867
222,1.3394
223,-0.03846
224,0.83711
225,-0.14661
226,0.64197
227,0.30477
228,0.5051
229,-0.36358
230,0.39152
231,-0.24669
232,0.8572
233,0.24402
234,0.69395
